x,y,relation
Dial-in,Description Update,independency
Dial-in,Analysis/Research,independency
Dial-in,Resolved,independency
Dial-in,OO Response,independency
Dial-in,Communication with customer,independency
Dial-in,External Vendor Assignment,independency
Dial-in,Pending vendor,independency
Dial-in,Open,independency
Dial-in,Communication with vendor,independency
Dial-in,Reopen,independency
Dial-in,Vendor Reference,independency
Dial-in,Urgency Change,independency
Dial-in,Impact Change,independency
Dial-in,Quality Indicator Fixed,independency
Dial-in,Problem Workaround,independency
Dial-in,Problem Closure,independency
Dial-in,Service Change,independency
Dial-in,Affected CI Change,independency
Dial-in,Referred,independency
Dial-in,Vendor Reference Change,independency
Dial-in,Incident reproduction,independency
Dial-in,Quality Indicator,independency
Dial-in,Notify By Change,independency
Dial-in,Contact Change,independency
Dial-in,Mail to Customer,independency
Dial-in,Quality Indicator Set,independency
Dial-in,Callback Request,independency
Dial-in,External update,independency
Dial-in,External Vendor Reassignment,independency
Dial-in,alert stage 1,independency
Dial-in,Dial-in,independency
